,Enzyme Common Name,,EnzymeId
8733,chitinase activity,primary,1336
8734,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,primary,
8735,hormone activity//insulin receptor binding,primary,
8736,tRNA dihydrouridine synthase activity,primary,
8737,G-protein coupled receptor activity//neuropeptide receptor activity//rhodopsin-like receptor activity//metal ion binding,primary,
8738,growth factor activity//vascular endothelial growth factor receptor binding,primary,
8739,protein binding,primary,
8740,transporter activity,primary,
8741,ORF,primary,
8742,ORF,primary,
8743,sequence-specific DNA binding//DNA binding//transcription factor activity,primary,
8744,"RNA splicing factor activity, transesterification mechanism",primary,
8745,protein binding//zinc ion binding,primary,
8746,"transforming growth factor beta receptor, common-partner cytoplasmic mediator activity//DNA binding//protein binding//RNA polymerase II transcription factor activity//transcription factor activity",primary,
8747,nucleoside-triphosphatase activity,primary,669
8748,serine-type endopeptidase activity,primary,
8749,microtubule motor activity//ATP binding//motor activity,primary,
8750,structural constituent of cytoskeleton,primary,
8751,ORF,primary,
8752,neuropeptide hormone activity,primary,
8753,specific transcriptional repressor activity//heparin binding,primary,
8754,transcription factor activity//zinc ion binding,primary,
8755,"ATPase activity, coupled to transmembrane movement of substances",primary,641
8756,hedgehog receptor activity,primary,
8757,GTP binding,primary,
8758,microtubule binding//protein binding,primary,
8759,ORF,primary,
8760,acetyl-CoA C-acetyltransferase activity,primary,519
8761,"amine receptor activity//peptide receptor activity, G-protein coupled//neuropeptide receptor activity//ecdysis-triggering hormone receptor activity",primary,
8762,enzyme binding//translation initiation factor activity//protein binding//miRNA binding,primary,
8763,ATP-dependent RNA helicase activity,primary,641
8764,ORF,primary,
8765,polypeptide N-acetylgalactosaminyltransferase activity,primary,678
8766,fatty acid amide hydrolase activity,primary,
8767,taste receptor activity,primary,
8768,ATPase activity,primary,641
8769,electron carrier activity//DNA binding//iron-sulfur cluster binding//zinc ion binding,primary,
8770,ORF,primary,
8771,ORF,primary,
8772,trypsin activity,primary,823
8773,G-protein coupled receptor activity//neuropeptide receptor activity//bombesin receptor activity,primary,
8774,guanyl-nucleotide exchange factor activity,primary,
8775,ORF,primary,
8776,"alpha(1,3)-fucosyltransferase activity",primary,1315
8777,ubiquitin-protein ligase activity,primary,1480
8778,GTPase activity,primary,1171
8779,glycine transmembrane transporter activity//neurotransmitter:sodium symporter activity//sequence-specific DNA binding//transcription factor activity//neurotransmitter transporter activity,primary,
8780,hydrolase activity//zinc ion binding,primary,
8781,electron carrier activity//chitin binding//copper ion binding//structural constituent of peritrophic membrane,primary,
8782,olfactory receptor activity//odorant binding,primary,
8783,secondary active organic cation transmembrane transporter activity,primary,
8784,protein serine/threonine kinase activity,primary,1451
8785,methyltransferase activity,primary,
8786,phospholipid binding//calcium-dependent phospholipid binding//actin binding//calcium ion binding,primary,
8787,ORF,primary,
8788,ORF,primary,
8789,protein binding//glutamate receptor binding,primary,
8790,protein tyrosine kinase activity//ATP binding,primary,
8791,ORF,primary,
8792,4-aminobutyrate transaminase activity,primary,950
8793,ferroxidase activity,primary,795
8794,specific RNA polymerase II transcription factor activity//protein binding//zinc ion binding,primary,
8795,ORF,primary,
8796,microtubule motor activity//binding,primary,
8797,structural molecule activity,primary,
8798,DNA binding,primary,
8799,N-acetylgalactosamine-4-sulfatase activity,primary,979
8800,ATP binding//mismatched DNA binding,primary,
8801,ORF,primary,
8802,ORF,primary,
8803,ORF,primary,
8804,ORF,primary,
8805,ORF,primary,
8806,ORF,primary,
8807,ORF,primary,
8808,ORF,primary,
8809,methyltransferase activity,primary,
8810,sequence-specific DNA binding//RNA polymerase II transcription factor activity//transcription factor activity//zinc ion binding//general RNA polymerase II transcription factor activity,primary,
8811,ORF,primary,
8812,transmembrane receptor activity//non-G-protein coupled 7TM receptor activity//G-protein coupled receptor activity//protein binding//hedgehog receptor activity,primary,
8813,DNA binding,primary,
8814,ORF,primary,
8815,ORF,primary,
8816,ORF,primary,
8817,ORF,primary,
8818,pyridoxal phosphate binding//carboxy-lyase activity,primary,
8819,ORF,primary,
8820,ORF,primary,
8821,transporter activity//lipase activity,primary,
8822,ORF,primary,
8823,ORF,primary,
8824,odorant binding,primary,
8825,transcription factor activity,primary,
8826,actin binding,primary,
8827,thioredoxin peroxidase activity,primary,1531
8828,olfactory receptor activity//odorant binding,primary,
8829,inositol or phosphatidylinositol phosphatase activity,primary,414
8830,protein binding//SNAP receptor activity,primary,
8831,ORF,primary,
8832,glyoxylate reductase (NADP) activity,primary,496
8833,"transferase activity, transferring groups other than amino-acyl groups",primary,
8834,binding,primary,
8835,transporter activity,primary,
8836,ORF,primary,
8837,zinc ion binding//nucleic acid binding,primary,
8838,protein binding,primary,
8839,ORF,primary,
8840,ORF,primary,
8841,ORF,primary,
8842,ORF,primary,
8843,ORF,primary,
8844,ORF,primary,
8845,ATP-dependent helicase activity,primary,641
8846,ORF,primary,
8847,mRNA binding//zinc ion binding,primary,
8848,ATP-activated inward rectifier potassium channel activity,primary,
8849,"transferase activity, transferring groups other than amino-acyl groups",primary,
8850,NADH dehydrogenase (ubiquinone) activity,primary,180
8851,actin binding//structural molecule activity,primary,
8852,ORF,primary,
8853,ORF,primary,
8854,binding,primary,
8855,oxidoreductase activity,primary,
8856,ORF,primary,
8857,catalytic activity,primary,
8858,ATP binding//GTP binding//aminoacyl-tRNA ligase activity,primary,
8859,ORF,primary,
8860,ATP-dependent helicase activity,primary,641
8861,sodium channel activity,primary,
8862,GTP binding,primary,
8863,ORF,primary,
8864,Ran GTPase binding//zinc ion binding,primary,
8865,microtubule motor activity//ATP binding//motor activity,primary,
8866,cyclin-dependent protein kinase regulator activity,primary,
8867,helicase activity,primary,
8868,amino acid transmembrane transporter activity,primary,
8869,chondroitin 6-sulfotransferase activity,primary,523
8870,ORF,primary,
8871,phosphopantetheine binding//oligosaccharyl transferase activity,primary,
8872,structural constituent of ribosome,primary,
8873,zinc ion binding//receptor binding,primary,
8874,galactosyltransferase activity,primary,357
8875,actin binding,primary,
8876,hormone binding,primary,
8877,ORF,primary,
8878,DNA binding,primary,
8879,ORF,primary,
8880,ORF,primary,
8881,succinate-CoA ligase (GDP-forming) activity,primary,547
8882,xylulokinase activity,primary,1320
8883,stromelysin 3 activity//metalloendopeptidase activity//zinc ion binding,primary,
8884,ORF,primary,
8885,ORF,primary,
8886,ORF,primary,
8887,ORF,primary,
8888,ORF,primary,
8889,DNA-directed DNA polymerase activity,primary,1384
8890,DNA binding,primary,
8891,binding,primary,
8892,ORF,primary,
8893,catalytic activity//ATP binding//structural constituent of chitin-based cuticle,primary,
8894,ORF,primary,
8895,RNA polymerase II transcription factor activity//ice binding//zinc ion binding//nucleic acid binding,primary,
8896,binding,primary,1480
8897,structural constituent of ribosome,primary,
8898,ORF,primary,
8899,SH3 domain binding,primary,
8900,chitin synthase activity,primary,1274
8901,zinc ion transmembrane transporter activity,primary,
8902,ATP-dependent RNA helicase activity,primary,641
8903,oxidoreductase activity,primary,
8904,ORF,primary,
8905,"ATPase activity, coupled to transmembrane movement of substances",primary,641
8906,ubiquitin-protein ligase activity,primary,1480
8907,ORF,primary,
8908,ORF,primary,
8909,serine-type endopeptidase inhibitor activity,primary,
8910,ORF,primary,
8911,ORF,primary,
8912,microtubule binding//protein binding,primary,
8913,zinc ion binding,primary,
8914,ORF,primary,
8915,protein tyrosine/serine/threonine phosphatase activity,primary,
8916,DNA binding//zinc ion binding,primary,
8917,ubiquinol-cytochrome-c reductase activity,primary,1537
8918,transcription repressor activity//specific RNA polymerase II transcription factor activity//transcription activator activity//protein binding//transcription factor activity//zinc ion binding//nucleic acid binding,primary,
8919,GTPase activity,primary,1171
8920,membrane alanyl aminopeptidase activity,primary,1041
8921,transporter activity,primary,
8922,ORF,primary,
8923,ORF,primary,
8924,ORF,primary,
8925,alkaline phosphatase activity,primary,675
8926,ORF,primary,
8927,ORF,primary,
8928,DNA-directed RNA polymerase activity,primary,1393
8929,ORF,primary,
8930,receptor signaling protein tyrosine kinase signaling protein activity//transporter activity,primary,
8931,GTPase activity,primary,1171
8932,ORF,primary,
8933,ORF,primary,
8934,ORF,primary,
8935,solute:hydrogen antiporter activity,primary,
8936,structural constituent of ribosome,primary,
8937,adenylate cyclase activity,primary,724
8938,ORF,primary,
8939,nuclear localization sequence binding,primary,
8940,sequence-specific DNA binding//transcription factor activity,primary,
8941,ORF,primary,
8942,ORF,primary,
8943,sequence-specific DNA binding//transcription factor activity//protein dimerization activity//protein homodimerization activity,primary,
8944,ORF,primary,
8945,protein binding,primary,
8946,ORF,primary,
8947,exonuclease activity//nucleic acid binding,primary,
8948,phosphatidylcholine:cardiolipin O-linoleoyltransferase,primary,
8949,GTPase activity,primary,1171
8950,taste receptor activity,primary,
8951,serine carboxypeptidase activity,primary,
8952,ORF,primary,
8953,chitin binding,primary,
8954,ORF,primary,
8955,calcium-dependent cysteine-type endopeptidase activity,primary,
8956,transcription repressor activity//sequence-specific DNA binding//transcription factor activity,primary,
8957,diphosphoinositol-polyphosphate diphosphatase activity,primary,1132
8958,ORF,primary,
8959,protein serine/threonine kinase activity,primary,1451
8960,ORF,primary,
8961,GTPase activity,primary,1171
8962,DNA binding,primary,
8963,catalytic activity//ATP binding//structural molecule activity,primary,
8964,"hydrogen-exporting ATPase activity, phosphorylative mechanism",primary,1338
8965,serine-type peptidase activity//calcium ion binding//serine-type endopeptidase activity,primary,
8966,polypeptide N-acetylgalactosaminyltransferase activity,primary,678
8967,chromatin binding,primary,
8968,protein binding,primary,
8969,protein binding//zinc ion binding,primary,
8970,mRNA binding//RNA binding,primary,
8971,ORF,primary,
8972,calcium ion binding,primary,
8973,ORF,primary,
8974,ORF,primary,
8975,ORF,primary,
8976,ORF,primary,
8977,cathepsin D activity,primary,1309
8978,ORF,primary,
8979,ORF,primary,
8980,glutathione transferase activity,primary,650
8981,transcription factor activity,primary,
8982,catalytic activity//RNA binding,primary,
8983,ORF,primary,
8984,ORF,primary,
8985,ORF,primary,
8986,ORF,primary,
8987,ORF,primary,
8988,ORF,primary,
8989,ORF,primary,
8990,ORF,primary,
8991,ORF,primary,
8992,ORF,primary,
8993,ORF,primary,
8994,protein kinase activity//ATP binding,primary,
8995,ORF,primary,
8996,ORF,primary,
8997,microtubule motor activity//dynein binding,primary,
8998,ORF,primary,
8999,transcription factor activity,primary,
9000,ORF,primary,
9001,aconitate hydratase activity,primary,301
9002,GTPase activity,primary,1171
9003,ATPase activity,primary,641
9004,nucleotide binding//mRNA binding//nucleic acid binding,primary,
9005,DNA binding,primary,1384
9006,ORF,primary,
9007,trypsin activity,primary,823
9008,ORF,primary,
9009,ORF,primary,
9010,ORF,primary,
9011,"carbohydrate binding//hydrolase activity, hydrolyzing O-glycosyl compounds",primary,
9012,ORF,primary,
9013,ORF,primary,
9014,DNA binding//protein binding//transcription factor activity//zinc ion binding,primary,
9015,ORF,primary,
9016,actin binding,primary,
9017,protein kinase activity//kinase activity//kinesin binding,primary,
9018,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
9019,ORF,primary,
9020,ORF,primary,
9021,ORF,primary,
9022,ORF,primary,
9023,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
9024,cyclin-dependent protein kinase regulator activity,primary,
9025,metallopeptidase activity//zinc ion binding,primary,
9026,4-hydroxyphenylpyruvate dioxygenase activity,primary,1311
9027,DNA binding,primary,
9028,DNA binding//protein binding,primary,
9029,actin binding//calcium ion binding,primary,
9030,DNA binding//general RNA polymerase II transcription factor activity,primary,
9031,"RNA splicing factor activity, transesterification mechanism",primary,
9032,ORF,primary,
9033,zinc ion binding,primary,
9034,general RNA polymerase II transcription factor activity,primary,
9035,sequence-specific DNA binding//transcription factor activity//protein dimerization activity//protein homodimerization activity,primary,
9036,drug transporter activity,primary,
9037,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,870
9038,ORF,primary,
9039,protein kinase CK2 activity,primary,1451
9040,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
9041,ORF,primary,
9042,ORF,primary,
9043,protein serine/threonine kinase activity,primary,1483
9044,ORF,primary,
9045,phospholipase C activity,primary,1082
9046,taste receptor activity,primary,
9047,ORF,primary,
9048,ORF,primary,
9049,deoxyribonuclease I activity,primary,1006
9050,ORF,primary,
9051,calcium ion binding,primary,
9052,microtubule binding//zinc ion binding,primary,
9053,electron carrier activity,primary,
9054,ORF,primary,
9055,ORF,primary,
9056,ORF,primary,
9057,sequence-specific DNA binding//transcription factor activity,primary,
9058,actin binding,primary,
9059,plus-end-directed microtubule motor activity,primary,575
9060,lipase activity,primary,
9061,ORF,primary,
9062,ORF,primary,
9063,olfactory receptor activity//odorant binding,primary,
9064,pyridoxal phosphate binding//carboxy-lyase activity,primary,
9065,protein binding,primary,
9066,transporter activity,primary,
9067,ATPase activity,primary,641
9068,glucuronosyltransferase activity,primary,527
9069,ORF,primary,
9070,ORF,primary,
9071,nicotinic acetylcholine-activated cation-selective channel activity//neurotransmitter receptor activity,primary,
9072,ORF,primary,
9073,protein binding//zinc ion binding,primary,
9074,subtilase activity,primary,
9075,protein tyrosine phosphatase activity,primary,1490
9076,sterol O-acyltransferase activity,primary,105
9077,juvenile hormone acid methyltransferase activity,primary,1348
9078,ORF,primary,
9079,protein binding//mRNA binding,primary,
9080,"G-protein coupled receptor activity//peptide receptor activity, G-protein coupled//neuropeptide receptor activity//neuropeptide Y receptor activity",primary,
9081,ORF,primary,
9082,tropomyosin binding//actin binding,primary,
9083,G-protein coupled receptor activity//catalytic activity//nucleotide binding,primary,
9084,astacin activity,primary,608
9085,alpha-amylase activity,primary,1089
9086,ribonuclease activity,primary,
9087,ORF,primary,
9088,protein kinase C binding,primary,1451
9089,ribose phosphate diphosphokinase activity,primary,277
9090,ORF,primary,
9091,ORF,primary,
9092,unfolded protein binding,primary,
9093,heparan sulfate 6-O-sulfotransferase activity,primary,
9094,FMN adenylyltransferase activity,primary,968
9095,structural molecule activity,primary,
9096,ORF,primary,
9097,ORF,primary,
9098,ORF,primary,
9099,ORF,primary,
9100,ORF,primary,
9101,zinc ion binding//nucleic acid binding,primary,
9102,ORF,primary,
9103,ORF,primary,
9104,ORF,primary,
9105,cation-transporting ATPase activity,primary,
9106,ORF,primary,
9107,ORF,primary,
9108,DNA binding//transcription factor activity,primary,
9109,ORF,primary,
9110,ORF,primary,
9111,ORF,primary,
9112,ORF,primary,
9113,ORF,primary,
9114,DNA binding,primary,
9115,store-operated calcium channel activity,primary,
9116,ORF,primary,
9117,hydrolase activity,primary,
9118,zinc ion binding//nucleic acid binding,primary,
9119,ORF,primary,
9120,ORF,primary,
9121,ORF,primary,
9122,DNA binding//specific RNA polymerase II transcription factor activity//transcription activator activity//zinc ion binding,primary,
9123,zinc ion binding//nucleic acid binding,primary,
9124,ORF,primary,
9125,ORF,primary,
9126,amino acid transmembrane transporter activity,primary,
9127,acetate-CoA ligase activity,primary,508
9128,zinc ion binding//nucleic acid binding,primary,
9129,ORF,primary,
9130,general RNA polymerase II transcription factor activity,primary,
9131,fibroblast growth factor receptor binding,primary,
9132,ATP binding//aminoacyl-tRNA ligase activity,primary,
9133,binding//protein transporter activity,primary,
9134,ORF,primary,
9135,ORF,primary,
9136,zinc ion binding,primary,
9137,DNA binding,primary,
9138,argininosuccinate synthase activity,primary,997
9139,neuropeptide receptor activity//tachykinin receptor activity,primary,
9140,ORF,primary,
9141,"beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity",primary,877
9142,sequence-specific DNA binding//DNA binding//transcription factor activity,primary,
9143,ORF,primary,
9144,G-protein coupled receptor activity,primary,
9145,ORF,primary,
9146,DNA binding//transcription factor activity,primary,
9147,SH3/SH2 adaptor activity//SH2 domain binding,primary,
9148,ORF,primary,
9149,serine carboxypeptidase activity,primary,
9150,proteasome activator activity,primary,
9151,"ATPase activity, coupled",primary,641
9152,ORF,primary,
9153,taste receptor activity,primary,
9154,cadherin binding//cytoskeletal protein binding//actin binding//structural molecule activity,primary,
9155,ORF,primary,
9156,cathepsin K activity,primary,730
9157,oxidoreductase activity,primary,
9158,sequence-specific DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity//zinc ion binding,primary,
9159,ORF,primary,
9160,olfactory receptor activity//odorant binding,primary,
9161,binding,primary,
9162,ORF,primary,
9163,ORF,primary,
9164,ORF,primary,
9165,vitamin E binding,primary,
9166,alpha-glucosidase activity,primary,40
9167,electron carrier activity,primary,
9168,ORF,primary,
9169,taste receptor activity,primary,
9170,sequence-specific DNA binding//specific RNA polymerase II transcription factor activity//specific transcriptional repressor activity//transcription factor activity,primary,
9171,phenylalkylamine binding,primary,
9172,ORF,primary,
9173,ORF,primary,
9174,DNA binding,primary,
9175,ORF,primary,
9176,ORF,primary,
9177,polypeptide N-acetylgalactosaminyltransferase activity,primary,678
9178,transcription corepressor activity//chromatin binding,primary,
9179,ORF,primary,
9180,cytochrome-c oxidase activity,primary,1456
9181,ORF,primary,
9182,chitin binding,primary,
9183,structural constituent of ribosome,primary,
9184,ORF,primary,
9185,ORF,primary,
9186,hydrogen ion transmembrane transporter activity,primary,
9187,sequence-specific DNA binding//transcription activator activity//protein binding//transcription factor activity,primary,
9188,structural constituent of ribosome,primary,
9189,Wnt-protein binding,primary,
9190,transporter activity,primary,
9191,protein binding,primary,
9192,ORF,primary,
9193,protein binding,primary,
9194,GTPase activator activity,primary,1194
9195,ORF,primary,
9196,G-protein coupled receptor activity//G-protein coupled photoreceptor activity//protein binding//rhodopsin-like receptor activity,primary,
9197,torso binding,primary,
9198,tRNA-pseudouridine synthase activity,primary,1405
9199,sequence-specific DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity,primary,
9200,"ATPase activity, coupled to transmembrane movement of substances",primary,917
9201,trypsin activity,primary,823
9202,protein serine/threonine kinase activity,primary,1451
9203,1-alkyl-2-acetylglycerophosphocholine esterase activity,primary,672
9204,ORF,primary,
9205,ORF,primary,
9206,ORF,primary,
9207,aminoacyl-tRNA ligase activity//zinc ion binding//nucleic acid binding//ATP binding,primary,
9208,DNA binding,primary,
9209,ORF,primary,
9210,pheromone binding//phenylalkylamine binding,primary,
9211,ORF,primary,
9212,glycoprotein 6-alpha-L-fucosyltransferase activity,primary,689
9213,ORF,primary,
9214,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity,primary,
9215,ORF,primary,
9216,ORF,primary,
9217,DNA binding,primary,
9218,ORF,primary,
9219,iron ion transmembrane transporter activity,primary,
9220,zinc ion binding//nucleic acid binding,primary,
9221,ornithine-oxo-acid transaminase activity,primary,212
9222,GABA-B receptor activity//sequence-specific DNA binding//transcription factor activity,primary,
9223,ORF,primary,
9224,ORF,primary,
9225,ORF,primary,
9226,ORF,primary,
9227,ORF,primary,
9228,ORF,primary,
9229,DNA-directed RNA polymerase activity,primary,1393
9230,"ATPase activity, coupled",primary,641
9231,ORF,primary,
9232,glutathione transferase activity,primary,650
9233,calcium-dependent cysteine-type endopeptidase activity,primary,
9234,DNA binding,primary,
9235,ORF,primary,
9236,ORF,primary,
9237,DNA binding,primary,
9238,phosphoglycerate mutase activity,primary,1159
9239,specific RNA polymerase II transcription factor activity//protein binding,primary,
9240,ORF,primary,
9241,dodecenoyl-CoA delta-isomerase activity,primary,562
9242,leucyl aminopeptidase activity,primary,1511
9243,glucosamine 6-phosphate N-acetyltransferase activity,primary,978
9244,ORF,primary,
9245,GTPase activity,primary,1171
9246,ORF,primary,
9247,ORF,primary,
9248,binding//oxidoreductase activity,primary,
9249,cytoskeletal protein binding//alpha-catenin binding//protein binding,primary,
9250,serine-type endopeptidase activity,primary,
9251,damaged DNA binding//endodeoxyribonuclease activity,primary,
9252,ORF,primary,
9253,sequence-specific DNA binding//DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity,primary,
9254,calcium ion binding,primary,
9255,ORF,primary,
9256,glucose transmembrane transporter activity,primary,
9257,ORF,primary,
9258,coproporphyrinogen oxidase activity,primary,1156
9259,GTPase activity,primary,1353
9260,carboxypeptidase A activity,primary,1442
9261,ORF,primary,
9262,ORF,primary,
9263,nuclease activity//phosphoric ester hydrolase activity,primary,
9264,chitin binding,primary,
9265,protein serine/threonine kinase activity,primary,1553
9266,transporter activity//binding,primary,
9267,serine-type endopeptidase activity,primary,
9268,ORF,primary,
9269,cysteine-type endopeptidase activity,primary,
9270,sequence-specific DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity,primary,
9271,ORF,primary,
9272,protein serine/threonine kinase activity,primary,1451
9273,molybdenum ion binding//pyridoxal phosphate binding//Mo-molybdopterin cofactor sulfurase activity,primary,
9274,nucleic acid binding,primary,
9275,GTPase activity,primary,1171
9276,mannose-1-phosphate guanylyltransferase activity,primary,949
9277,cofactor binding//beta-alanyl-dopamine synthase activity,primary,
9278,ORF,primary,
9279,ORF,primary,
9280,ORF,primary,
9281,lipase activity,primary,
9282,serine-type endopeptidase activity,primary,
9283,protein binding,primary,
9284,ORF,primary,
9285,ORF,primary,
9286,cytochrome-c oxidase activity,primary,1456
9287,transcription repressor activity//DNA binding//specific transcriptional repressor activity//transcription factor activity,primary,
9288,ORF,primary,
9289,carbonate dehydratase activity,primary,168
9290,ORF,primary,
9291,ORF,primary,
9292,ORF,primary,
9293,ion channel inhibitor activity,primary,
9294,ORF,primary,
9295,ORF,primary,
9296,cysteine-type endopeptidase activity//regulator of G-protein signaling activity,primary,
9297,ORF,primary,
9298,ORF,primary,
9299,ORF,primary,
9300,ORF,primary,
9301,protein binding,primary,
9302,structural constituent of vitelline membrane,primary,
9303,neuropeptide hormone activity//motor activity//structural molecule activity,primary,
9304,ORF,primary,
9305,lysozyme activity,primary,249
9306,ORF,primary,
9307,single-stranded DNA binding,primary,
9308,protein binding//zinc ion binding,primary,
9309,receptor binding,primary,
9310,glucuronosyltransferase activity,primary,527
9311,soluble NSF attachment protein activity,primary,
9312,carbonyl reductase (NADPH) activity,primary,590
9313,ubiquitin-protein ligase activity,primary,1480
9314,binding//transmembrane transporter activity,primary,
9315,ORF,primary,
9316,ORF,primary,
9317,protein serine/threonine kinase activity,primary,1451
9318,ORF,primary,
9319,proline-tRNA ligase activity,primary,1430
9320,ATP-dependent DNA helicase activity,primary,641
9321,ubiquitin-protein ligase activity,primary,1480
9322,binding,primary,
9323,ORF,primary,
9324,ORF,primary,
9325,ORF,primary,
9326,olfactory receptor activity//odorant binding,primary,
9327,neuromedin U receptor activity//G-protein coupled receptor activity//neuropeptide receptor activity,primary,
9328,"transferase activity, transferring hexosyl groups",primary,935
9329,DNA bending activity,primary,
9330,DNA binding,primary,
9331,structural constituent of ribosome,primary,
9332,transporter activity//binding//transmembrane transporter activity,primary,
9333,serine-type endopeptidase activity,primary,
9334,ORF,primary,
9335,antigen binding,primary,
9336,ORF,primary,
9337,serine-type peptidase activity,primary,
9338,ORF,primary,
9339,zinc ion binding//nucleic acid binding,primary,
9340,"transferase activity, transferring glycosyl groups",primary,
9341,open rectifier potassium channel activity,primary,
9342,transporter activity,primary,
9343,binding,primary,
9344,oxidoreductase activity//nucleic acid binding//endonuclease activity,primary,
9345,ORF,primary,
9346,dihydropterin deaminase activity,primary,
9347,UDP-glucose 6-dehydrogenase activity,primary,962
9348,ORF,primary,
9349,ORF,primary,
9350,peptide receptor activity//gonadotropin-releasing hormone receptor activity//G-protein coupled receptor activity//neuropeptide receptor activity//rhodopsin-like receptor activity,primary,
9351,serine-type endopeptidase activity,primary,
9352,succinate dehydrogenase activity,primary,782
9353,transmembrane receptor protein tyrosine kinase activity,primary,1066
9354,DNA binding//specific RNA polymerase II transcription factor activity//transcription activator activity//specific transcriptional repressor activity,primary,
9355,electron carrier activity//transporter activity,primary,
9356,glutamate-cysteine ligase activity,primary,869
9357,"hydrolase activity, acting on ester bonds//RNA binding",primary,
9358,transmembrane receptor protein tyrosine kinase activity,primary,1066
9359,peroxidase activity,primary,475
9360,diacylglycerol binding,primary,
9361,carboxylesterase activity,primary,1121
9362,transaldolase activity,primary,919
9363,ORF,primary,
9364,thioredoxin peroxidase activity,primary,1531
9365,transcription repressor activity//transcription activator activity//protein binding//chromatin binding//zinc ion binding,primary,
9366,ORF,primary,
9367,transcription regulator activity//sequence-specific DNA binding//DNA binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,
9368,ORF,primary,
9369,nucleotide binding,primary,
9370,zinc ion binding//nucleic acid binding,primary,
9371,catalytic activity,primary,
9372,catalytic activity,primary,
9373,structural molecule activity,primary,
9374,ORF,primary,
9375,ORF,primary,
9376,sequence-specific DNA binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,
9377,ORF,primary,
9378,unfolded protein binding//heat shock protein binding,primary,
9379,ORF,primary,
9380,general RNA polymerase II transcription factor activity,primary,
9381,ORF,primary,
9382,ORF,primary,
9383,zinc ion binding,primary,
9384,peptidyl-prolyl cis-trans isomerase activity,primary,366
9385,Rab GTPase binding,primary,
9386,chymotrypsin activity,primary,162
9387,SNAP receptor activity,primary,
9388,ORF,primary,
9389,ORF,primary,
9390,DNA binding,primary,
9391,ORF,primary,
9392,DNA binding,primary,
9393,ubiquitin-protein ligase activity,primary,1480
9394,structural molecule activity,primary,
9395,RNA polymerase II transcription factor activity//zinc ion binding//nucleic acid binding,primary,
9396,ORF,primary,
9397,binding//protein transporter activity,primary,
9398,ORF,primary,
9399,DNA binding,primary,
9400,nucleotide binding//mRNA binding,primary,
9401,ORF,primary,
9402,ORF,primary,
9403,ORF,primary,
9404,neuropeptide hormone activity,primary,
9405,ORF,primary,
9406,procollagen-lysine 5-dioxygenase activity,primary,452
9407,ORF,primary,
9408,ORF,primary,
9409,zinc ion binding//nucleic acid binding,primary,
9410,zinc ion binding,primary,
9411,ORF,primary,
9412,ORF,primary,
9413,RNA binding,primary,
9414,heat shock protein binding,primary,
9415,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
9416,stearoyl-CoA 9-desaturase activity,primary,1481
9417,vasopressin activated calcium mobilizing receptor activity//ubiquitin protein ligase binding,primary,
9418,subtilisin activity,primary,1267
9419,ORF,primary,
9420,triacylglycerol lipase activity,primary,309
9421,catalytic activity,primary,
9422,ORF,primary,
9423,beta-amyloid binding,primary,
9424,GTPase activity,primary,1171
9425,GTPase activity,primary,1171
9426,structural constituent of chitin-based cuticle,primary,
9427,structural molecule activity,primary,
9428,ORF,primary,
9429,transporter activity//binding//transmembrane transporter activity,primary,
9430,ORF,primary,
9431,ORF,primary,
9432,Rab GTPase activator activity//Rab GTPase binding,primary,
9433,thiamin diphosphokinase activity,primary,123
9434,"ATPase activity, coupled",primary,641
9435,ORF,primary,
9436,ORF,primary,
9437,sugar binding,primary,
9438,protein binding//mRNA binding,primary,
9439,isocitrate dehydrogenase (NADP+) activity,primary,615
9440,transcription factor activity,primary,
9441,ORF,primary,
9442,chymotrypsin activity,primary,162
9443,ORF,primary,
9444,ORF,primary,
9445,ORF,primary,
9446,ORF,primary,
9447,translation elongation factor activity//guanyl-nucleotide exchange factor activity,primary,
9448,metal ion transmembrane transporter activity,primary,
9449,peptidyl-dipeptidase activity,primary,1371
9450,metal ion transmembrane transporter activity,primary,
9451,signal transducer activity//GTP binding,primary,
9452,zinc ion binding//nucleic acid binding,primary,
9453,microtubule motor activity//ATP binding,primary,
9454,zinc ion binding,primary,
9455,chitin binding,primary,
9456,DNA binding,primary,
9457,ORF,primary,
9458,signal sequence binding,primary,
9459,ORF,primary,
9460,zinc ion binding,primary,
9461,carboxypeptidase A activity,primary,1442
9462,structural constituent of ribosome,primary,
9463,ORF,primary,
9464,ORF,primary,
9465,ORF,primary,
9466,transcription factor activity//zinc ion binding,primary,
9467,pyridoxal phosphate binding,primary,302
9468,glucose-6-phosphate isomerase activity,primary,1070
9469,structural constituent of vitelline membrane,primary,
